,agencyAcronym,allowLateComment,attachmentCount,commentDueDate,commentStartDate,commentText,docketId,docketTitle,docketType,documentId,documentStatus,documentType,numberOfCommentsReceived,openForComment,postedDate,rin,title
0,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0507,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,KY
1,CMS,False,1,,,Prevent Blindness comment attached in PDF.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0903,Posted,Public Submission,1,False,2019-01-07T00:00:00-05:00,Not Assigned,IL
2,CMS,False,0,,,NOW.....Stop Big Government Bureaucrats from Imposing Socialist Price Controls!....NOW!!!!,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0309,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,NC
3,CMS,False,0,,,Stop big government bureaucrats from imposing Socialists Price Controls!,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0319,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,MN
4,CMS,False,0,,,Oppose all  socialist Price controls.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0920,Posted,Public Submission,1,False,2019-01-07T00:00:00-05:00,Not Assigned,CA
5,CMS,False,0,,,"Reject socialist price control 
We also need term limits 
Thank you",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1611,Posted,Public Submission,1,False,2019-01-07T00:00:00-05:00,Not Assigned,CA
6,CMS,False,0,,,I do not want anything to do with socialized medicine including Price Controls.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2229,Posted,Public Submission,1,False,2019-01-08T00:00:00-05:00,Not Assigned,KY
7,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0483,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,TN
8,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0489,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,WY
9,CMS,False,0,,,No thank you. I do not want the socialist approach to healthcare.  Nothing is free...we pay the high cost for the stupidity of the unwise rules of the socialist.  We need good medical care for every individual NOT one size check its all.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0921,Posted,Public Submission,1,False,2019-01-07T00:00:00-05:00,Not Assigned,FL
10,CMS,False,0,,,Europe has lost all common sense in all that they do. Don't let America fall into socialism and give up all that we have done to be great again. Obama and the Left have destroyed us as never before. Enough is enough. Evil and stupidity is their constitution .,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2186,Posted,Public Submission,1,False,2019-01-08T00:00:00-05:00,Not Assigned,ME
11,CMS,False,0,,,Imposing price controls on the drug companies will lead us down the road to a Socialist like nation and kill research and development.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1897,Posted,Public Submission,1,False,2019-01-08T00:00:00-05:00,Not Assigned,MI
12,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0213,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,SC
13,CMS,False,1,,,"Spectrum Health Lakeland respectfully submits these comments in response to the Centers for Medicare and Medicaid Services (CMS) Advanced Notice of Proposed Rule Making published in the Federal Register on October 30, 2018, regarding the International Pricing Index (IPI) Model for Medicare Part B drugs.  Spectrum Health Lakeland serves the Southwest Lower Michigan area as a Disproportionate Share Hospital under the 340B Program.  Spectrum Health Lakeland serves many low-income patients in the Southwest Lower Michigan area as evidenced by our CMS Disproportionate Share Percentage of 20.17%.  The 340B program is intended to provide resources to hospitals serving high volumes of low-income patients to enable those hospitals to provide more comprehensive services and treat more patients.

Spectrum Health Lakeland supports CMS for its efforts to reduce drug prices.  We are concerned, however, that the IPI Model would unintentionally eliminate the 340B program, which would negatively impact the ability of safety-net providers to treat low-income and vulnerable patients.  We also have several operational and patient care concerns relating to the IPI Model.  We ask that CMS consider measures to preserve the 340B program and address the patient care and operational issues in the attached file.
",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1082,Posted,Public Submission,1,False,2019-01-07T00:00:00-05:00,Not Assigned,MI
14,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0290,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,PA
15,CMS,False,0,,,"I fled the socialist gulag of Mexifornia in 2013 because I did not and could not comply with the onerous rules, laws and other chicanery  imposed on the proleriat  (stupid non elite working people.  I for one refuse to become one of Bitch piglousy's deploribles.  I won't put with this PC bull.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2257,Posted,Public Submission,1,False,2019-01-08T00:00:00-05:00,Not Assigned,SC
16,CMS,False,0,,,Stop Big Government Bureaucrats from Imposing Socialist Price Controls!,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0112,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,NE
17,CMS,False,0,,,We reject socialist price controls. Return US healthcare back to the open market and get government out of trying to reform it.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2729,Posted,Public Submission,1,False,2019-01-08T00:00:00-05:00,Not Assigned,NC
18,CMS,False,0,,,We don't need price controls let free market decidePlease write your comment here.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0962,Posted,Public Submission,1,False,2019-01-07T00:00:00-05:00,Not Assigned,TN
19,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0261,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,TX
20,CMS,False,0,,,We do not need you to impose socialist price controls.  We seniors need our medications.  We do not need any socialist conditions.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0926,Posted,Public Submission,1,False,2019-01-07T00:00:00-05:00,Not Assigned,NC
21,CMS,False,0,,,"I'd like less government intrusion in my life, not more. Who can decide what's best for me?  My doctor and me, that's who.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0904,Posted,Public Submission,1,False,2019-01-07T00:00:00-05:00,Not Assigned,IL
22,CMS,False,0,,,"The United States of America must reject socialist. Socialism is closely linked to Communism and Marxist.
Socialism is not compatible with our democratic republic. Capitalism has provided most of us with the
American Dream and we are better off compared to most countries in our world. European socialism is a failed system that takes from the ""haves"" and gives to
the ""have nots"". The ""have nots"" will never work to get
to where the ""haves"" are because Socialism destroys the incentive to work hard to get ahead. KEEP SOCIALISM OUT OF THE U.S.!",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2554,Posted,Public Submission,1,False,2019-01-08T00:00:00-05:00,Not Assigned,TX
23,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0201,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,KY
24,CMS,False,1,,,See attached file(s),CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0510,Posted,Public Submission,1,False,2019-01-02T00:00:00-05:00,Not Assigned,RI
25,CMS,False,1,,,Please see attached.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1083,Posted,Public Submission,1,False,2019-01-07T00:00:00-05:00,Not Assigned,VA
26,CMS,False,0,,,"Please write your comment here.

It is beyond belief that YOU would even consider imposing Socialist Price Controls on anyone's pharmaceutical needs, essentially limiting their use and supply.  Just say NO!  Everyone in America has the right to proper medical care as prescribed by their doctors.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1844,Posted,Public Submission,1,False,2019-01-08T00:00:00-05:00,Not Assigned,WI
