,agencyAcronym,allowLateComment,attachmentCount,commentDueDate,commentStartDate,docketId,docketTitle,docketType,documentId,documentStatus,documentType,frNumber,numberOfCommentsReceived,openForComment,postedDate,rin,title,StartDate,Medicare,Medicaid,Patient_Protection,Health_Reimbursement_Arrangements
0,CMS,False,0,2018-12-28T23:59:59-05:00,2018-10-29 04:00:00,CMS-2018-0159,Health Reimbursement Arrangements and Other Account-Based Group Health Plans CMS-9918-P,Rulemaking,CMS-2018-0159-0002,Posted,Proposed Rule,2018-23183,148,False,2018-10-29T00:00:00-04:00,0938-AT90,Health Reimbursement Arrangements and Other Account-Based Group Health Plans,2018-10-29,0,0,0,1
1,CMS,False,0,2019-02-19T23:59:59-05:00,2018-12-20 05:00:00,CMS-2018-0158,Request for Information: Accrediting Organizations: Conflict of Interest and Consulting Services CMS-3367-NC,Rulemaking,CMS-2018-0158-0001,Posted,Proposed Rule,2018-27506,127,False,2018-12-20T00:00:00-05:00,0938-AT84,Medicare Programs: Accrediting Organizations Conflict of Interest and Consulting Services; Request for Information,2018-12-20,1,0,0,0
2,CMS,False,0,2019-02-19T23:59:59-05:00,2018-12-19 05:00:00,CMS-2018-0157,Administrative Simplification: Rescinding the Adoption of the Standard Unique Health Plan Identifier and Other Entity Identifier CMS-0054-P,Rulemaking,CMS-2018-0157-0001,Posted,Proposed Rule,2018-27435,19,False,2018-12-19T00:00:00-05:00,0938-AT42,Administrative Simplification: Rescinding the Adoption of the Standard Unique Health Plan Identifier and Other Entity Identifier,2018-12-19,0,0,0,0
4,CMS,False,0,2019-01-25T23:59:59-05:00,2018-11-30 05:00:00,CMS-2018-0149,Modernizing Part D and Medicare Advantage to Lower Drug Prices and Reduce Out of Pocket Expenses CMS-4180-P,Rulemaking,CMS-2018-0149-0002,Posted,Proposed Rule,2018-25945,7874,False,2018-11-30T00:00:00-05:00,0938-AT92,Modernizing Part D and Medicare Advantage to Lower Drug Prices and Reduce Out of Pocket Expenses,2018-11-30,1,0,0,0
5,CMS,False,0,2019-01-14T23:59:59-05:00,2018-11-14 05:00:00,CMS-2018-0140,Medicaid and Children’s Health Insurance Plan (CHIP) Managed Care (CMS-2408-P),Rulemaking,CMS-2018-0140-0001,Posted,Proposed Rule,2018-24626,217,False,2018-11-14T00:00:00-05:00,0938-AT40,Medicaid Program: Medicaid and Children's Health Insurance Plan (CHIP) Managed Care CMS-2408-P,2018-11-14,0,1,0,0
6,CMS,False,0,2019-01-08T23:59:59-05:00,2018-11-09 05:00:00,CMS-2018-0135,Patient Protection and Affordable Care Act; Exchange Program Integrity CMS-9922-P,Rulemaking,CMS-2018-0135-0001,Posted,Proposed Rule,2018-24504,75439,False,2018-11-09T00:00:00-05:00,0938-AT53,Patient Protection and Affordable Care Act; Exchange Program Integrity CMS-9922-P,2018-11-09,0,0,1,0
7,CMS,False,0,2019-04-30T23:59:59-04:00,2018-11-01 04:00:00,CMS-2018-0133,"Policy and Technical Changes to the Medicare Advantage, Medicare Prescription Drug Benefit, and Medicaid Managed Care Programs for Contract Year 2020 CMS-4185-P",Rulemaking,CMS-2018-0133-0001,Posted,Proposed Rule,2018-23599,191,True,2018-11-01T00:00:00-04:00,0938-AT59,"Medicare and Medicaid Programs: Medicare Advantage, Medicare Prescription Drug Benefit, Program of All-inclusive Care for the Elderly, Medicaid Fee-For-Service, and Medicaid Managed Care Programs for Years 2020 and 2021; Policy and Technical Changes CMS-4185-P",2018-11-01,1,1,0,0
8,CMS,False,0,2018-12-27T23:59:59-05:00,2018-12-27 05:00:00,CMS-2018-0133,"Policy and Technical Changes to the Medicare Advantage, Medicare Prescription Drug Benefit, and Medicaid Managed Care Programs for Contract Year 2020 CMS-4185-P",Rulemaking,CMS-2018-0133-0188,Posted,Proposed Rule,2018-28070,1,False,2018-12-27T00:00:00-05:00,0938-AT59,Medicare and Medicaid Programs: Risk Adjustment Data Validation,2018-12-27,1,1,0,0
9,CMS,False,0,2018-12-31T23:59:59-05:00,2018-10-30 04:00:00,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0001,Posted,Proposed Rule,2018-23688,3946,False,2018-10-30T00:00:00-04:00,Not Assigned,Medicare Programs: International Pricing Index Model for Medicare Part B Drugs  (CMS-5528-ANPRM),2018-10-30,1,0,0,0
10,CMS,False,0,2018-12-17T23:59:59-05:00,2018-10-18 04:00:00,CMS-2018-0123,Regulation to Require Drug Pricing Transparency CMS-4187-P,Rulemaking,CMS-2018-0123-0001,Posted,Proposed Rule,2018-22698,147,False,2018-10-18T00:00:00-04:00,0938-AT87,Medicare and Medicaid Programs: Drug Pricing Transparency CMS-4187-P,2018-10-18,1,1,0,0
11,CMS,False,0,2018-12-03T23:59:59-05:00,2018-10-02 04:00:00,CMS-2018-0110,Changes to the Medicare Claims and Medicare Prescription Drug Coverage Determination Appeals Procedures (CMS-4174-P) ,Rulemaking,CMS-2018-0110-0001,Posted,Proposed Rule,2018-21223,15,False,2018-10-02T00:00:00-04:00,0938-AT27,Medicare Program: Changes to the Medicare Claims and Medicare Prescription Drug Coverage Determination Appeals Procedures,2018-10-02,1,0,0,0
