,agencyAcronym,allowLateComment,attachmentCount,commentDueDate,commentStartDate,commentText,docketId,docketTitle,docketType,documentId,documentStatus,documentType,frNumber,numberOfCommentsReceived,openForComment,postedDate,rin,title,startDate,daysSince,Days
0,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0507,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,KY,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
1,CMS,False,1,,,Prevent Blindness comment attached in PDF.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0903,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,IL,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
2,CMS,False,0,,,NOW.....Stop Big Government Bureaucrats from Imposing Socialist Price Controls!....NOW!!!!,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0309,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,NC,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
3,CMS,False,0,,,Stop big government bureaucrats from imposing Socialists Price Controls!,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0319,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,MN,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
4,CMS,False,0,,,Oppose all  socialist Price controls.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0920,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,CA,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
5,CMS,False,0,,,"Reject socialist price control 
We also need term limits 
Thank you",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1611,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,CA,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
6,CMS,False,0,,,I do not want anything to do with socialized medicine including Price Controls.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2229,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,KY,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
7,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0483,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,TN,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
8,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0489,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,WY,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
9,CMS,False,0,,,No thank you. I do not want the socialist approach to healthcare.  Nothing is free...we pay the high cost for the stupidity of the unwise rules of the socialist.  We need good medical care for every individual NOT one size check its all.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0921,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,FL,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
